code,nonmarital_pct,nonmarital_year
BEL,52.4,2018
ISL,69.4,2019
IRL,38.4,2019
CHE,27.7,2020
DNK,54.7,2021
CHL,78.06,2022
AUS,39.869267381654225,2023
AUT,40.019328651504416,2023
COL,87.0,2023
CRI,73.99984061204972,2023
CZE,47.0932209898079,2023
EST,53.7948671111517,2023
FIN,48.40375262199479,2023
FRA,58.497964863864794,2023
DEU,33.07628259611624,2023
GRC,9.688557032379402,2023
HUN,24.42312737393209,2023
ISR,8.6,2023
ITA,40.45065676906473,2023
JPN,2.4,2023
LVA,37.34299516908213,2023
LTU,27.251127382049166,2023
LUX,38.95569620253165,2023
NLD,42.14010833682905,2023
NOR,61.1757690014043,2023
POL,28.716723374111307,2023
PRT,59.50361147738013,2023
SVK,41.6435313714603,2023
SVN,56.54246865618931,2023
ESP,49.95528874714692,2023
SWE,57.4477016721472,2023
TUR,3.0575704710311267,2023
USA,40.0,2023
CAN,28.982369966493327,2024
KOR,4.719860190933278,2024
MEX,73.68554952510176,2024
NZL,48.431554047104804,2024
GBR,47.6,2024
