code,country,gdp_pc,lfp_ratio,tertiary_gpi,tfr,gdp_pc_year,lfp_ratio_year,tertiary_gpi_year,tfr_year,men_unpaid_min,women_unpaid_min,men_share_unpaid_pct,tertiary_parity,public_parity,private_parity,mismatch,log_gdp
PRT,Portugal,42228.1580446502,87.9136368004613,1.17716002464294,1.41,2024,2024,2023,2024,96.2683438155136,328.156424581006,22.682074889082518,117.716002464294,102.81481963237765,45.364149778165036,57.45066985421261,10.650842529753197
JPN,Japan,47479.8448545667,77.7620812644241,0.974250018596649,1.15,2024,2024,2023,2024,47.0,208.0,18.431372549019606,97.42500185966489,87.59354156204449,36.86274509803921,50.73079646400528,10.768060581122787
KOR,Korea,55070.9386194121,78.7270888460952,0.891470015048981,0.748,2024,2024,2024,2024,48.9944848608272,215.008936662608,18.5582764716093,89.1470015048981,83.93704517549665,37.1165529432186,46.82049223227805,10.91637742622626
NZL,New Zealand,48325.3650985684,88.3777078220041,1.38266003131866,1.57,2024,2024,2024,2024,141.0,264.0,34.81481481481482,138.266003131866,113.32185547693504,69.62962962962963,43.69222584730541,10.785711859114073
TUR,Türkiye,36154.490436557,51.1819459324086,1.07325994968414,1.48,2024,2024,2023,2024,67.5917389,305.047395,18.138658222122924,107.325994968414,79.2539704504113,36.27731644424585,42.976654006165454,10.495556436651539
IRL,Ireland,118833.312071751,85.0285616847131,1.18614995479584,1.47,2024,2024,2022,2024,126.978151,292.508303,30.269904972902893,118.61499547958401,101.82177858214855,60.539809945805786,41.28196863634277,11.685477051249016
LVA,Latvia,37615.0762450744,82.5614943041551,1.32453000545502,1.24,2024,2024,2024,2024,129.726897150602,253.2541126242,33.872932035685835,132.453000545502,107.50724742482855,67.74586407137167,39.76138335345688,10.53516021297816
ITA,Italy,53284.8745049149,69.9406791217783,1.29103994369507,1.18,2024,2024,2023,2024,130.70904349082,306.335941182031,29.907457601569764,129.10399436950698,99.52233674564263,59.81491520313953,39.707421542503106,10.883407789485068
LTU,Lithuania,47462.0039386975,83.6876970696289,1.31260001659393,1.11,2024,2024,2024,2024,151.6108055203,291.951659066224,34.18026041983222,131.260001659393,107.47384936451095,68.36052083966445,39.11332852484651,10.767684752838296
AUS,Australia,60309.5831772339,88.3372345525818,1.31058001518249,1.481,2024,2024,2024,2024,171.595818815331,311.0,35.55683910328147,131.058001518249,109.6976180354154,71.11367820656294,38.583939828852465,11.007246295083625
ESP,Spain,48460.2914069661,84.7972326723203,1.23163998126984,1.1,2024,2024,2024,2024,145.9093127,289.1279055,33.5395011267567,123.163998126984,103.98061539965215,67.0790022535134,36.90161314613876,10.788500007702954
GRC,Greece,37474.2798239947,74.7298889681842,1.0673600435257,1.24,2024,2024,2023,2024,97.0,260.0,27.170868347338935,106.73600435257,90.73294666037711,54.34173669467787,36.39120996569924,10.531410105280996
GBR,United Kingdom,53412.0647163589,87.3440799769064,1.27330994606018,1.551,2024,2024,2023,2024,140.081795190296,248.632290190633,36.03723159479023,127.330994606018,107.3375372914622,72.07446318958046,35.26307410188174,10.885791930447674
SVN,Slovenia,48658.0265180267,83.2303046592149,1.34330999851227,1.52,2024,2024,2023,2024,166.462395543175,286.198749131341,36.77417368412945,134.330999851227,108.78065225522096,73.5483473682589,35.232304886962055,10.79257205895993
LUX,Luxembourg,128475.283540415,87.5372046407095,1.15877997875214,1.25,2024,2024,2024,2024,121.075181416472,239.61742768193,33.56741401469665,115.877997875214,101.70760125796176,67.1348280293933,34.57277322856845,11.76349181882756
EST,Estonia,41185.8348356109,87.2521649954421,1.33996999263763,1.18,2024,2024,2024,2024,139.187715531909,209.36915508837,39.93256976521956,133.996999263763,110.62458212960254,79.86513953043912,30.75944259916342,10.625849661550165
FRA,France,54799.3482689389,86.4381594764258,1.24828994274139,1.61,2024,2024,2024,2024,134.939453321805,224.030847649372,37.590701224232966,124.828994274139,105.6335768752824,75.18140244846593,30.45217442681647,10.91143357996281
BEL,Belgium,63311.2766917178,84.269283955614,1.27315998077393,1.44,2024,2024,2023,2024,144.172378478972,237.322972016499,37.79138547605538,127.315998077393,105.7926410165035,75.58277095211076,30.20987006439273,11.055818739054603
AUT,Austria,63787.9891749462,84.1529722669421,1.23399996757507,1.31,2024,2024,2024,2024,138.51473,237.79821,36.80838878407954,123.399996757507,103.77648451222456,73.61677756815908,30.159706944065476,11.06332019416424
HUN,Hungary,40747.1986679668,80.4763665951624,1.21092998981476,1.41,2024,2024,2024,2024,162.341045980129,293.767324683589,35.592647805146434,121.092998981476,100.7846827883192,71.18529561029287,29.599387178026333,10.615142371961635
MEX,Mexico,21970.3520412926,61.4051673897559,1.16029000282288,1.892,2024,2024,2024,2024,147.359370199201,348.516655805618,29.71697812988623,116.029000282288,88.71708383602194,59.43395625977246,29.283127576249484,9.99744918897775
POL,Poland,45153.0439773281,78.6846732145022,1.365110039711,1.14,2024,2024,2024,2024,189.473693847656,292.593627929688,39.304405274574826,136.5110039711,107.5978385928011,78.60881054914965,28.989028043651444,10.717812975782483
SWE,Sweden,62558.4065876041,91.0110370064333,1.40059995651245,1.43,2024,2024,2024,2024,171.0,220.152883947186,43.716921699365166,140.059995651245,115.53551632883915,87.43384339873033,28.10167293010882,11.04385590474783
CAN,Canada,57534.0915185335,87.3440414058321,1.26879000663757,1.25,2024,2024,2023,2024,163.9218968153,247.182051444054,39.87358854356861,126.879000663757,107.11152103479455,79.74717708713722,27.364343947657332,10.960132947066562
